"refrigerator,",1
regulations.there,1
relate,1
relations.,1
relationships,1
release,1
relevant.at,1
remember,1
representatives.,1
requests,1
"result,",1
retiree,1
right,1
rights,2
rigidly,1
rivalry,1
rock,2
rockets,1
rocks,1
roles,1
room,4
"room,",1
routes,1
rule,1
running,1
ryan,1
said,1
saints.,1
sale,2
sales,1
same,2
sat,1
say,1
says,2
scale,1
scalf.,1
scenic,1
scientists,1
scrappy,1
second,1
see,1
seen,1
sell,1
selling,1
sent,2
series,1
serve,1
set,1
seven,1
seventies,1
shadow,1
she,16
shelley,1
sight,1
signs,1
silence.,1
similarly,1
simple:,1
since,2
single,1
sister,1
sitting,1
six,2
slay,1
slightly,1
small,3
"social,",1
society,1
solar,1
sold,1
some,4
song,1
sons,1
space,2
spacecraft,1
speeding,1
spoon,1
sri,1
stages,1
stars,1
start,1
started,3
states.,1
stir,2
stood,1
stop.,1
stove.,1
stuck,1
styled,1
stylish,1
such,2
suffering,1
sunday,1
surpassing,1
surprisingly,1
sweating,1
swift.,1
system,2
table,1
take,1
taylor,1
technologies,1
technology,1
technology.,2
ten,1
tentatively,1
thailand.,1
than,1
that,15
the,131
their,6
them.,1
then,1
there,5
therefore,1
these,3
they,6
things,1
this,9
"this,",1
thought.,1
thousand,1
threw,1
through,2
time,6
timeline,1
to,49
toes.,1
together,1
told,1
tombs.,1
torches,1
torn,1
total,1
town,1
train,1
trained,1
"trainer,",1
translation.,1
transport,1
travel,1
travelling,1
truth,1
trying,1
turned,2
twenty,1
two,1
ufo,1
uncertainty,1
understand,1
united,1
unknown,1
until,1
up,1
upheavals,1
upheld.,1
uploading,1
use,4
used,1
useful,1
user,2
users,1
uses,1
various,2
veil,1
venue,1
video.,1
village,2
village.,1
visits,1
voice,2
walked,1
wall,1
walls.,1
warrior.,1
was,18
way,1
we,1
week,3
week.,2
well,1
went,1
"went,",1
were,9
what,3
when,9
where,3
which,2
while,1
who,3
why.,1
wild,1
will,7
window,2
wish,1
with,13
withdrawn.,1
within,1
woman,1
wondered,1
wooden,1
work,3
worked.,1
world,1
world.,1
worn,1
would,1
year,2
years,5
years.,1
yellow,1
you,7
"young,",1
your,2
